run,evaluations,best_fitness,current_fitness,temperature,accepted
16,23668.8,931309.958062,931309.958062,1.143840,1
16,23669.8,931309.958062,931309.958062,1.029456,0
16,23805.8,931307.334455,931307.334455,0.926510,1
16,23824.5,931306.918671,931306.918671,0.833859,1
16,23904.5,931306.288184,931306.288184,0.750473,1
16,23905.5,931306.288184,931306.288184,0.675426,0
16,23924.1,930624.947882,930624.947882,0.607883,1
16,24055.1,930623.823729,930623.823729,0.547095,1
16,24060.2,930623.823729,930623.823729,0.492385,1
16,24061.2,930623.823729,930623.823729,0.443147,0
16,24062.2,930623.823729,930623.823729,0.398832,1
16,24080.8,930024.999607,930024.999607,0.358949,1
16,24247.8,930020.299133,930020.299133,0.323054,1
16,24248.8,930020.299133,930020.299133,0.290749,1
16,24267.5,928734.223462,928734.223462,0.261674,1
16,24393.5,928610.442818,928610.442818,0.235506,1
16,24406.0,928610.442818,928610.442818,0.211956,1
16,24407.0,928610.442818,928610.442818,0.190760,0
16,24426.6,928588.200571,928588.200571,0.171684,1
16,24445.3,928438.842996,928438.842996,0.154516,1
16,24638.3,928438.370242,928438.370242,0.139064,1
16,24639.3,928438.370242,928438.370242,0.125158,0
16,24657.9,927627.646751,927627.646751,0.112642,1
16,24920.9,927588.543701,927588.543701,0.101378,1
16,24940.6,927496.291790,927496.291790,5.000000,1
16,24959.2,926894.455859,926894.455859,4.500000,1
16,25187.2,926886.885803,926886.885803,4.050000,1
17,506.9,1395020.351801,1395020.351801,5.000000,1
17,528.8,1391213.336555,1391213.336555,4.500000,1
17,537.8,1391213.336555,1391213.336555,4.050000,1
17,538.8,1391213.336555,1391213.336555,3.645000,1
17,757.8,1391213.336555,1391213.336555,3.280500,1
17,761.8,1391210.153532,1391210.153532,2.952450,1
17,766.8,1391210.153532,1391210.153532,2.657205,1
17,773.8,1391166.030084,1391166.030084,2.391485,1
17,796.7,1388380.135436,1388380.135436,2.152336,1
17,818.6,1385706.857697,1385706.857697,1.937102,1
17,839.6,1385706.857697,1385706.857697,1.743392,1
17,840.6,1385706.857697,1385706.857697,1.569053,1
17,862.5,1382024.576303,1382024.576303,1.412148,1
17,886.5,1382024.576303,1382024.576303,1.270933,0
17,891.5,1382024.576303,1382024.576303,1.143840,1
17,910.5,1382024.576303,1382024.576303,1.029456,1
17,956.3,1379762.498928,1379762.498928,0.926510,1
17,978.2,1376179.827572,1376179.827572,0.833859,1
17,1011.2,1376179.827572,1376179.827572,0.750473,1
17,1012.2,1376179.827572,1376179.827572,0.675426,1
17,1034.0,1371783.011742,1371783.011742,0.607883,1
17,1037.0,1371783.011742,1371783.011742,0.547095,0
17,1042.0,1371783.011742,1371783.011742,0.492385,1
17,1043.1,1371783.011742,1371783.011742,0.443147,0
17,1046.1,1371679.631371,1371679.631371,0.398832,1
17,1067.8,1369729.229150,1369729.229150,0.358949,1
17,1069.8,1369727.168895,1369727.168895,0.323054,1
17,1070.8,1369727.168895,1369727.168895,0.290749,1
17,1092.6,1367147.667695,1367147.667695,0.261674,1
17,1098.6,1367121.755319,1367121.755319,0.235506,1
17,1103.7,1367121.755319,1367121.755319,0.211956,1
17,1106.7,1366962.780096,1366962.780096,0.190760,1
17,1107.7,1366962.780096,1366962.780096,0.171684,0
17,1129.5,1365809.272433,1365809.272433,0.154516,1
17,1147.5,1365808.995737,1365808.995737,0.139064,1
17,1148.5,1365808.995737,1365808.995737,0.125158,1
17,1170.2,1363387.622334,1363387.622334,0.112642,1
17,1173.2,1363316.820659,1363316.820659,0.101378,1
17,1174.2,1363316.820659,1363316.820659,5.000000,1
17,1196.0,1360744.415177,1360744.415177,4.500000,1
17,1198.0,1360708.135215,1360708.135215,4.050000,1
17,1199.0,1360708.135215,1360708.135215,3.645000,1
17,1220.7,1358093.758101,1358093.758101,3.280500,1
17,1228.7,1358057.630086,1358057.630086,2.952450,1
17,1233.7,1358057.630086,1358057.630086,2.657205,1
17,1256.5,1356713.459392,1356713.459392,2.391485,1
17,1290.2,1354346.469511,1354346.469511,2.152336,1
17,1311.8,1352764.000865,1352764.000865,1.937102,1
17,1327.8,1352752.919573,1352752.919573,1.743392,1
17,1328.8,1352752.919573,1352752.919573,1.569053,1
17,1350.5,1350251.572928,1350251.572928,1.412148,1
17,1361.5,1350107.746733,1350107.746733,1.270933,1
17,1366.6,1350107.746733,1350107.746733,1.143840,1
17,1367.6,1350107.746733,1350107.746733,1.029456,1
17,1372.6,1349949.604955,1349949.604955,0.926510,1
17,1394.2,1348912.211542,1348912.211542,0.833859,1
